group,queue,waiting,vehicle_count
0,0.0,0.0,5.5
1,0.0,0.0,15.5
2,0.1,0.0,25.2
3,0.1,0.0,34.4
4,0.1,0.0,44.3
5,0.8,2.1,52.4
6,1.9,15.1,58.9
7,2.1,35.0,64.6
8,3.4,60.1,72.7
9,1.5,5.7,79.4
10,4.1,31.6,82.2
11,6.9,85.4,89.0
12,10.4,160.1,95.0
13,4.6,70.9,102.1
14,6.9,37.6,107.5
15,10.5,129.6,116.2
16,11.6,238.6,121.4
17,13.6,365.6,128.0
18,6.0,181.8,135.5
19,0.2,2.2,138.6
20,0.1,0.0,137.4
21,0.0,0.0,134.0
22,0.6,1.0,137.4
23,0.1,0.0,140.7
24,0.1,0.0,148.5
25,0.2,0.0,152.6
26,1.5,5.8,158.1
27,1.1,3.1,163.1
28,1.0,4.3,161.3
29,3.0,22.5,155.9
30,3.3,52.6,157.8
31,3.5,51.1,161.3
32,1.1,8.5,163.5
33,1.0,18.5,167.8
34,1.2,28.5,172.4
35,1.0,38.5,175.8
36,1.0,5.5,180.2
37,1.0,15.5,179.9
38,1.1,25.5,177.0
39,1.8,38.3,181.9
40,1.3,27.8,184.8
41,0.0,0.0,187.1
42,0.0,0.0,191.9
43,1.4,5.6,194.1
44,3.9,35.0,196.3
45,0.6,7.3,198.9
46,0.0,0.0,196.6
47,0.0,0.0,190.1
48,0.2,0.1,189.4
49,0.1,0.0,193.3
50,0.0,0.0,196.5
51,0.8,2.1,203.0
52,2.2,19.3,206.4
53,3.1,46.5,208.0
54,1.0,7.9,213.2
55,1.0,12.5,214.2
56,1.2,22.5,209.8
57,1.4,33.1,211.9
58,2.2,26.6,216.1
59,3.2,18.2,221.5
60,4.0,56.0,227.9
61,4.8,97.3,235.7
62,7.0,157.5,240.5
63,2.5,31.5,242.1
64,1.9,14.1,237.8
65,2.1,34.0,234.8
66,3.5,60.1,234.4
67,4.0,57.8,233.5
68,5.5,25.9,229.5
69,9.9,108.0,231.6
70,12.3,219.8,233.1
71,13.7,351.3,233.8
72,11.6,395.8,234.7
73,9.1,388.2,235.3
74,9.0,458.5,235.1
75,9.4,548.8,237.7
76,10.1,524.3,237.1
77,8.4,89.9,233.1
78,14.7,145.7,236.1
79,18.3,311.0,240.3
80,21.5,512.8,241.0
81,18.8,614.0,242.2
82,14.0,585.9,236.6
83,12.0,657.0,226.3
84,12.0,777.0,221.3
85,10.9,768.6,220.2
86,6.1,179.0,220.9
87,6.4,72.5,224.1
88,12.9,167.5,230.4
89,17.2,324.1,236.7
90,13.5,299.8,241.0
91,12.3,405.8,236.0
92,12.0,524.0,227.1
93,12.0,644.0,224.8
94,10.5,652.7,222.0
95,2.6,156.1,221.1
96,1.4,7.5,229.9
97,2.6,21.2,239.2
98,7.6,69.9,244.9
99,9.6,103.2,246.9
100,7.1,127.8,241.3
101,5.6,155.6,234.5
102,6.1,215.0,229.5
103,5.3,195.8,229.8
104,0.2,0.9,230.7
105,0.2,0.0,233.0
106,1.8,5.3,239.5
107,3.3,32.6,242.3
108,1.4,11.3,243.7
109,2.1,23.1,241.1
110,2.1,43.0,237.0
111,2.6,65.1,235.5
112,2.0,49.7,238.2
113,0.0,0.0,240.1
114,1.9,5.5,245.9
115,6.0,47.7,247.4
116,10.6,132.4,247.6
117,6.6,108.9,249.0
118,0.3,5.2,248.7
119,1.0,3.1,246.7
120,1.1,2.8,242.2
121,1.7,5.9,236.3
122,3.1,26.6,232.5
123,4.7,65.8,236.4
124,6.2,119.7,242.5
125,7.0,187.5,245.6
