step,tls_id,queue,waiting,vehicle_count,phase
0,J0,0,0.0,1,0
0,J1,0,0.0,1,0
0,J10,1,0.0,1,0
0,J11,0,0.0,1,0
0,J12,0,0.0,1,0
0,J13,0,0.0,1,0
0,J2,0,0.0,1,0
0,J4,0,0.0,1,0
0,J8,0,0.0,1,0
1,J0,0,0.0,2,0
1,J1,0,0.0,2,0
1,J10,0,0.0,2,0
1,J11,0,0.0,2,0
1,J12,0,0.0,2,0
1,J13,0,0.0,2,0
1,J2,0,0.0,2,0
1,J4,0,0.0,2,0
1,J8,0,0.0,2,0
2,J0,0,0.0,3,0
2,J1,0,0.0,3,0
2,J10,0,0.0,3,0
2,J11,0,0.0,3,0
2,J12,0,0.0,3,0
2,J13,1,0.0,3,0
2,J2,0,0.0,3,0
2,J4,0,0.0,3,0
2,J8,0,0.0,3,0
3,J0,0,0.0,4,0
3,J1,0,0.0,4,0
3,J10,0,0.0,4,0
3,J11,0,0.0,4,0
3,J12,1,0.0,4,0
3,J13,0,0.0,4,0
3,J2,0,0.0,4,0
3,J4,0,0.0,4,0
3,J8,0,0.0,4,0
4,J0,0,0.0,5,0
4,J1,0,0.0,5,0
4,J10,0,0.0,5,0
4,J11,0,0.0,5,0
4,J12,1,0.0,5,0
4,J13,0,0.0,5,0
4,J2,0,0.0,5,0
4,J4,0,0.0,5,0
4,J8,0,0.0,5,0
5,J0,0,0.0,6,0
5,J1,1,0.0,6,0
5,J10,0,0.0,6,0
5,J11,0,0.0,6,0
5,J12,0,0.0,6,0
5,J13,0,0.0,6,0
5,J2,0,0.0,6,0
5,J4,0,0.0,6,0
5,J8,0,0.0,6,0
6,J0,0,0.0,7,0
6,J1,0,0.0,7,0
6,J10,0,0.0,7,0
6,J11,0,0.0,7,0
6,J12,0,0.0,7,0
6,J13,0,0.0,7,0
6,J2,0,0.0,7,0
6,J4,0,0.0,7,0
6,J8,0,0.0,7,0
7,J0,0,0.0,8,0
7,J1,0,0.0,8,0
7,J10,0,0.0,8,0
7,J11,0,0.0,8,0
7,J12,0,0.0,8,0
7,J13,0,0.0,8,0
7,J2,0,0.0,8,0
7,J4,1,0.0,8,0
7,J8,0,0.0,8,0
8,J0,0,0.0,9,0
8,J1,0,0.0,9,0
8,J10,0,0.0,9,0
8,J11,1,0.0,9,0
8,J12,0,0.0,9,0
8,J13,0,0.0,9,0
8,J2,0,0.0,9,0
8,J4,0,0.0,9,0
8,J8,0,0.0,9,0
9,J0,0,0.0,10,0
9,J1,0,0.0,10,0
9,J10,0,0.0,10,0
9,J11,0,0.0,10,0
9,J12,0,0.0,10,0
9,J13,1,0.0,10,0
9,J2,0,0.0,10,0
9,J4,0,0.0,10,0
9,J8,0,0.0,10,0
10,J0,0,0.0,11,0
10,J1,0,0.0,11,0
10,J10,0,0.0,11,0
10,J11,0,0.0,11,0
10,J12,0,0.0,11,0
10,J13,1,0.0,11,0
10,J2,0,0.0,11,0
10,J4,0,0.0,11,0
10,J8,0,0.0,11,0
11,J0,0,0.0,12,0
11,J1,0,0.0,12,0
11,J10,1,0.0,12,0
11,J11,0,0.0,12,0
11,J12,0,0.0,12,0
11,J13,0,0.0,12,0
11,J2,0,0.0,12,0
11,J4,0,0.0,12,0
11,J8,0,0.0,12,0
12,J0,0,0.0,13,0
12,J1,0,0.0,13,0
12,J10,0,0.0,13,0
12,J11,1,0.0,13,0
12,J12,0,0.0,13,0
12,J13,0,0.0,13,0
12,J2,0,0.0,13,0
12,J4,0,0.0,13,0
12,J8,0,0.0,13,0
13,J0,0,0.0,14,0
13,J1,0,0.0,14,0
13,J10,1,1.0,14,0
13,J11,1,0.0,14,0
13,J12,0,0.0,14,0
13,J13,0,0.0,14,0
13,J2,0,0.0,14,0
13,J4,0,0.0,14,0
13,J8,0,0.0,14,0
14,J0,0,0.0,15,0
14,J1,0,0.0,15,0
14,J10,1,2.0,15,0
14,J11,1,0.0,15,0
14,J12,0,0.0,15,0
14,J13,0,0.0,15,0
14,J2,0,0.0,15,0
14,J4,0,0.0,15,0
14,J8,0,0.0,15,0
15,J0,0,0.0,16,0
15,J1,0,0.0,16,0
15,J10,2,3.0,16,0
15,J11,0,0.0,16,0
15,J12,0,0.0,16,0
15,J13,0,0.0,16,0
15,J2,0,0.0,16,0
15,J4,0,0.0,16,0
15,J8,0,0.0,16,0
16,J0,0,0.0,17,0
16,J1,0,0.0,17,0
16,J10,1,4.0,17,0
16,J11,0,0.0,17,0
16,J12,0,0.0,17,0
16,J13,0,0.0,17,0
16,J2,0,0.0,17,0
16,J4,0,0.0,17,0
16,J8,0,0.0,17,0
17,J0,0,0.0,18,0
17,J1,1,1.0,18,0
17,J10,1,5.0,18,0
17,J11,0,0.0,18,0
17,J12,0,0.0,18,0
17,J13,1,1.0,18,0
17,J2,0,0.0,18,0
17,J4,0,0.0,18,0
17,J8,0,0.0,18,0
18,J0,0,0.0,19,0
18,J1,1,2.0,19,0
18,J10,1,6.0,19,0
18,J11,1,0.0,19,0
18,J12,1,1.0,19,0
18,J13,1,2.0,19,0
18,J2,0,0.0,19,0
18,J4,0,0.0,19,0
18,J8,0,0.0,19,0
19,J0,0,0.0,20,0
19,J1,1,3.0,20,0
19,J10,1,7.0,20,0
19,J11,1,0.0,20,0
19,J12,1,2.0,20,0
19,J13,1,3.0,20,0
19,J2,0,0.0,20,0
19,J4,0,0.0,20,0
19,J8,0,0.0,20,0
20,J0,0,0.0,21,0
20,J1,1,4.0,21,0
20,J10,1,8.0,21,0
20,J11,0,0.0,21,0
20,J12,1,3.0,21,0
20,J13,2,4.0,21,0
20,J2,0,0.0,21,0
20,J4,0,0.0,21,0
20,J8,0,0.0,21,0
21,J0,0,0.0,22,0
21,J1,1,5.0,22,0
21,J10,1,9.0,22,0
21,J11,0,0.0,22,0
21,J12,1,4.0,22,0
21,J13,1,5.0,22,0
21,J2,0,0.0,22,0
21,J4,0,0.0,22,0
21,J8,0,0.0,22,0
22,J0,0,0.0,23,0
22,J1,1,6.0,23,0
22,J10,1,10.0,23,0
22,J11,1,0.0,23,0
22,J12,1,5.0,23,0
22,J13,1,6.0,23,0
22,J2,0,0.0,23,0
22,J4,0,0.0,23,0
22,J8,0,0.0,23,0
23,J0,0,0.0,24,0
23,J1,1,7.0,24,0
23,J10,2,11.0,24,0
23,J11,0,0.0,24,0
23,J12,2,7.0,24,0
23,J13,1,7.0,24,0
23,J2,0,0.0,24,0
23,J4,0,0.0,24,0
23,J8,0,0.0,24,0
24,J0,0,0.0,25,0
24,J1,1,8.0,25,0
