step,tls_id,queue
0,J0,0
0,J1,1
0,J10,0
0,J11,0
0,J12,0
0,J13,0
0,J2,0
0,J4,0
0,J8,0
1,J0,0
1,J1,0
1,J10,0
1,J11,0
1,J12,0
1,J13,0
1,J2,0
1,J4,0
1,J8,0
2,J0,0
2,J1,0
2,J10,0
2,J11,0
2,J12,0
2,J13,0
2,J2,0
2,J4,0
2,J8,0
3,J0,0
3,J1,0
3,J10,0
3,J11,0
3,J12,0
3,J13,0
3,J2,0
3,J4,0
3,J8,0
4,J0,0
4,J1,0
4,J10,0
4,J11,0
4,J12,0
4,J13,0
4,J2,0
4,J4,0
4,J8,0
5,J0,0
5,J1,0
5,J10,0
5,J11,0
5,J12,0
5,J13,0
5,J2,0
5,J4,0
5,J8,0
6,J0,0
6,J1,0
6,J10,0
6,J11,0
6,J12,0
6,J13,0
6,J2,0
6,J4,0
6,J8,0
7,J0,0
7,J1,0
7,J10,0
7,J11,0
7,J12,0
7,J13,0
7,J2,0
7,J4,0
7,J8,0
8,J0,0
8,J1,0
8,J10,0
8,J11,0
8,J12,0
8,J13,0
8,J2,0
8,J4,0
8,J8,0
9,J0,0
9,J1,0
9,J10,0
9,J11,0
9,J12,0
9,J13,0
9,J2,0
9,J4,0
9,J8,0
10,J0,0
10,J1,0
10,J10,0
10,J11,0
10,J12,0
10,J13,0
10,J2,0
10,J4,0
10,J8,0
11,J0,0
11,J1,0
11,J10,0
11,J11,0
11,J12,0
11,J13,0
11,J2,0
11,J4,0
11,J8,0
12,J0,1
12,J1,1
12,J10,0
12,J11,0
12,J12,0
12,J13,0
12,J2,0
12,J4,0
12,J8,0
13,J0,0
13,J1,1
13,J10,0
13,J11,0
13,J12,0
13,J13,0
13,J2,0
13,J4,0
13,J8,0
14,J0,0
14,J1,1
14,J10,0
14,J11,0
14,J12,0
14,J13,0
14,J2,0
14,J4,0
14,J8,0
15,J0,0
15,J1,1
15,J10,0
15,J11,0
15,J12,0
15,J13,0
15,J2,0
15,J4,0
15,J8,0
16,J0,0
16,J1,1
16,J10,0
16,J11,0
16,J12,0
16,J13,0
16,J2,0
16,J4,1
16,J8,0
17,J0,0
17,J1,1
17,J10,0
17,J11,0
17,J12,0
17,J13,0
17,J2,0
17,J4,0
17,J8,0
18,J0,0
18,J1,1
18,J10,0
18,J11,0
18,J12,0
18,J13,0
18,J2,0
18,J4,0
18,J8,0
19,J0,0
19,J1,1
19,J10,0
19,J11,0
19,J12,0
19,J13,0
19,J2,0
19,J4,0
19,J8,0
20,J0,0
20,J1,1
20,J10,0
20,J11,0
20,J12,0
20,J13,0
20,J2,0
20,J4,0
20,J8,1
21,J0,0
21,J1,1
21,J10,0
21,J11,0
21,J12,0
21,J13,0
21,J2,0
21,J4,0
21,J8,0
22,J0,0
22,J1,1
22,J10,0
22,J11,0
22,J12,0
22,J13,0
22,J2,0
22,J4,0
22,J8,0
23,J0,0
23,J1,1
23,J10,0
23,J11,0
23,J12,0
23,J13,0
23,J2,0
23,J4,0
23,J8,0
24,J0,0
24,J1,1
24,J10,0
24,J11,0
24,J12,1
24,J13,0
24,J2,0
24,J4,0
24,J8,0
25,J0,0
25,J1,1
25,J10,0
25,J11,0
25,J12,0
25,J13,0
25,J2,0
25,J4,0
25,J8,0
26,J0,0
26,J1,1
26,J10,0
26,J11,0
26,J12,0
26,J13,0
